,nobs,mean,skewness,kurtosis,median,mode,std,low,peak,q25,q75,iqr,lable
0,86,150.0,-0.13847693031812836,-1.166598759426666,140.0,90.0,68.75977731744182,25.0,285.00000000000006,91.25,208.75,117.5,Male
1,106,188.96226415094338,-1.2207636951378413,0.12084793781251468,215.0,220.0,77.41921224775088,25.0,290.0,185.0,235.00000000000003,50.00000000000003,Female
2,118,193.22033898305085,-1.3769893577172907,0.7297517596132659,212.5,200.0,67.80307172597942,25.0,295.0,190.0,235.00000000000003,45.00000000000003,Female
3,121,159.7245179063361,-0.5402552470525909,-1.472180266806881,205.00000000000003,30.0,92.83053942495586,25.0,285.00000000000006,40.0,230.0,190.0,Unknow
4,34,159.55882352941177,-0.8936932754950492,-0.6364477344964765,185.0,25.0,73.74805727310445,25.0,245.0,122.5,215.0,92.5,Male
5,212,155.21540880503147,0.2092966531239393,-1.207824157625815,135.0,100.0,79.29765881403019,25.0,295.0,100.0,226.25,126.25,Male
8,85,151.4,-0.07553964517630068,-0.999781404344882,170.0,80.0,56.52530927146966,24.0,280.0,95.0,190.0,95.0,Male
9,99,116.71717171717172,0.7976320667420639,3.4528787770234315,120.0,130.0,49.72226710988017,25.0,290.0,110.0,130.0,20.0,Male
10,83,117.65060240963855,1.0056350672273333,0.9751555623394377,105.0,85.0,44.378827507747474,25.0,240.0,90.0,125.0,35.0,Male
11,83,175.29439334679432,-0.3865550347030409,-0.8448994062135187,205.00000000000003,120.0,57.41020335122705,22.03856749311295,285.00000000000006,120.0,220.0,100.0,Male
12,103,160.92233009708738,0.23821566505247976,-0.9301265797587908,130.0,115.0,57.334597786227754,25.0,285.00000000000006,120.0,215.0,95.0,Male
13,88,167.60486154010536,-0.3446176213881721,-0.16859186319604857,165.0,125.0,59.50677137928405,25.0,295.0,128.75,215.0,86.25,Male
14,96,190.10519764198094,-1.001033068894562,0.11935988208059634,215.0,220.0,72.16013945627076,25.0,295.0,137.5,235.00000000000003,97.50000000000003,Male
15,79,169.80716905240743,0.23843946243500205,-1.5216348553970815,150.0,130.0,51.11002150921379,74.76635514018692,275.0,125.0,220.0,95.0,Male
16,92,170.1086956521739,0.2410699532780792,-1.6468821393942539,145.0,115.0,51.93525578978937,100.0,260.0,120.0,230.0,110.0,Male
18,92,151.26811594202897,0.37066810901058056,-0.5430070895629084,135.0,120.0,77.46292925346691,25.0,295.0,120.0,190.0,70.0,Male
19,202,112.99587803968681,1.8889340737716849,9.521760741620461,110.0,110.0,32.944491977331296,25.0,260.0,105.0,115.0,10.0,Male
20,229,125.81243018178125,1.4285845466687392,1.9832801827031306,110.0,110.0,46.363408191477724,25.0,265.0,105.0,125.0,20.0,Male
21,41,167.1951219512195,-0.0387876622915221,-1.4700365300799807,190.0,100.0,59.2334033613266,85.0,285.00000000000006,100.0,215.0,115.0,Male
22,225,242.757671957672,-1.7754760087878823,2.093298796111668,265.0,265.0,39.223223439229095,120.0,285.00000000000006,240.0,265.0,25.0,Male
23,101,150.74257425742573,0.5758976820236567,-0.13082610566249153,130.0,130.0,65.18209884020906,25.0,290.0,120.0,170.0,50.0,Male
24,138,127.97101449275362,1.3518496599633958,1.2344479724259223,110.0,105.0,52.735454348546355,25.0,290.0,100.0,128.75,28.75,Male
